actor	status: initialised
actor	event id: 499000	time 0.0155658s
actor	event id: 500000	time 0.010017s
actor	event id: 501000	time 0.00627069s
actor	event id: 502000	time 0.00768942s
actor	event id: 503000	time 0.00672179s
actor	event id: 504000	time 0.0105892s
actor	event id: 505000	time 0.00742454s
actor	event id: 506000	time 0.0101906s
actor	event id: 507000	time 0.00879665s
actor	event id: 508000	time 0.00764025s
actor	event id: 509000	time 0.00822651s
actor	event id: 510000	time 0.0116365s
actor	event id: 511000	time 0.00824812s
actor	event id: 512000	time 0.0125078s
actor	event id: 513000	time 0.00831136s
actor	event id: 514000	time 0.00798502s
actor	event id: 515000	time 0.00834896s
actor	event id: 516000	time 0.0052607s
actor	event id: 517000	time 0.00487003s
actor	event id: 518000	time 0.00812429s
actor	event id: 519000	time 0.00920311s
actor	event id: 520000	time 0.00994203s
actor	event id: 521000	time 0.0143777s
actor	event id: 522000	time 0.00867689s
actor	event id: 523000	time 0.00760511s
actor	event id: 524000	time 0.0154847s
actor	event id: 525000	time 0.0185269s
actor	event id: 526000	time 0.00914762s
actor	source	file:videos/Fallen Angel 1945  Alice Faye, Dana Andrews & Linda Darnell [Npsp7l0gNFY].webm
actor	next video index: 24
actor	seekable: false	duration: 5828061
actor	event id: 527000	time 0.0126313s
actor	event id: 528000	time 0.0114033s
actor	event id: 529000	time 0.00660965s
actor	event id: 530000	time 0.00996502s
actor	event id: 531000	time 0.0591798s
actor	event id: 532000	time 0.00944494s
actor	event id: 533000	time 0.00844656s
actor	event id: 534000	time 0.00586041s
actor	event id: 535000	time 0.00512379s
actor	event id: 536000	time 0.00616677s
actor	event id: 537000	time 0.00765481s
actor	event id: 538000	time 0.00724357s
actor	event id: 539000	time 0.00780171s
actor	event id: 540000	time 0.00617562s
actor	event id: 541000	time 0.00743374s
actor	event id: 542000	time 0.00738034s
actor	event id: 543000	time 0.00788287s
actor	event id: 544000	time 0.00637972s
actor	event id: 545000	time 0.0089664s
actor	event id: 546000	time 0.00808519s
actor	event id: 547000	time 0.0120642s
actor	event id: 548000	time 0.00550433s
actor	event id: 549000	time 0.0372189s
actor	event id: 550000	time 0.0136134s
actor	event id: 551000	time 0.00741178s
actor	event id: 552000	time 0.00802131s
actor	event id: 553000	time 0.00807967s
actor	event id: 554000	time 0.00629726s
actor	event id: 555000	time 0.00756243s
actor	event id: 556000	time 0.00791399s
actor	event id: 557000	time 0.00661515s
actor	event id: 558000	time 0.00876437s
actor	event id: 559000	time 0.00692758s
actor	event id: 560000	time 0.00685288s
actor	event id: 561000	time 0.00810596s
actor	event id: 562000	time 0.0135987s
actor	event id: 563000	time 0.0159136s
actor	event id: 564000	time 0.00709821s
actor	event id: 565000	time 0.0115117s
actor	event id: 566000	time 0.00844642s
actor	event id: 567000	time 0.00539863s
actor	event id: 568000	time 0.00693004s
actor	event id: 569000	time 0.0072656s
actor	event id: 570000	time 0.00789859s
actor	event id: 571000	time 0.00889048s
actor	event id: 572000	time 0.00795997s
actor	event id: 573000	time 0.0103102s
actor	event id: 574000	time 0.00649325s
actor	event id: 575000	time 0.00657206s
actor	event id: 576000	time 0.00646629s
actor	event id: 577000	time 0.0086686s
actor	event id: 578000	time 0.00767894s
actor	event id: 579000	time 0.00714287s
actor	event id: 580000	time 0.00817638s
actor	event id: 581000	time 0.00950664s
actor	event id: 582000	time 0.00745061s
actor	event id: 583000	time 0.00684084s
actor	event id: 584000	time 0.00749222s
actor	event id: 585000	time 0.0104827s
actor	event id: 586000	time 0.0213485s
actor	event id: 587000	time 0.00652117s
actor	event id: 588000	time 0.0191729s
actor	event id: 589000	time 0.018491s
actor	event id: 590000	time 0.0112973s
actor	event id: 591000	time 0.00742812s
actor	event id: 592000	time 0.00653344s
actor	event id: 593000	time 0.0324764s
actor	event id: 594000	time 0.00667598s
actor	event id: 595000	time 0.00644159s
actor	event id: 596000	time 0.00904028s
actor	event id: 597000	time 0.00698662s
actor	event id: 598000	time 0.0079903s
actor	event id: 599000	time 0.00817321s
actor	event id: 600000	time 0.00769421s
actor	event id: 601000	time 0.0115671s
actor	event id: 602000	time 0.0107371s
actor	source	file:videos/Greenwich Village 1944  Don Ameche, Vivian Blaine & Carmen Miranda [q2_pdDLQAe0].webm
actor	next video index: 25
actor	seekable: false	duration: 4947421
actor	event id: 603000	time 0.0264096s
actor	event id: 604000	time 0.00961864s
actor	event id: 605000	time 0.0198569s
actor	event id: 606000	time 0.0142971s
actor	event id: 607000	time 0.0177581s
actor	event id: 608000	time 0.0119542s
actor	event id: 609000	time 0.00781146s
actor	event id: 610000	time 0.00987236s
actor	event id: 611000	time 0.0120233s
actor	event id: 612000	time 0.010429s
actor	event id: 613000	time 0.012449s
actor	event id: 614000	time 0.0185627s
actor	event id: 615000	time 0.00773156s
actor	event id: 616000	time 0.0113836s
actor	event id: 617000	time 0.0477005s
actor	event id: 618000	time 0.010475s
actor	event id: 619000	time 0.00842313s
actor	event id: 620000	time 0.0127624s
actor	event id: 621000	time 0.00788573s
actor	event id: 622000	time 0.011383s
actor	event id: 623000	time 0.0573519s
actor	event id: 624000	time 0.0549807s
actor	event id: 625000	time 0.0279326s
actor	event id: 626000	time 0.00929257s
actor	event id: 627000	time 0.00748947s
actor	event id: 628000	time 0.00926912s
actor	event id: 629000	time 0.00932262s
actor	event id: 630000	time 0.0137141s
actor	event id: 631000	time 0.0175082s
actor	event id: 632000	time 0.0115964s
actor	event id: 633000	time 0.00706767s
actor	event id: 634000	time 0.00721291s
actor	event id: 635000	time 0.00572476s
actor	event id: 636000	time 0.0100099s
actor	event id: 637000	time 0.010649s
actor	event id: 638000	time 0.0134581s
actor	event id: 639000	time 0.00933956s
actor	event id: 640000	time 0.00786928s
actor	event id: 641000	time 0.0134372s
actor	event id: 642000	time 0.0148665s
actor	event id: 643000	time 0.00809451s
actor	event id: 644000	time 0.00847735s
actor	event id: 645000	time 0.00709685s
actor	event id: 646000	time 0.0104407s
actor	event id: 647000	time 0.0122935s
actor	event id: 648000	time 0.00848811s
actor	event id: 649000	time 0.00829607s
actor	event id: 650000	time 0.0102385s
actor	event id: 651000	time 0.0315825s
actor	event id: 652000	time 0.00500627s
actor	event id: 653000	time 0.00886709s
actor	event id: 654000	time 0.0081029s
actor	event id: 655000	time 0.0123851s
actor	event id: 656000	time 0.0111566s
actor	event id: 657000	time 0.012275s
actor	event id: 658000	time 0.0105136s
actor	event id: 659000	time 0.04461s
actor	event id: 660000	time 0.0126481s
actor	event id: 661000	time 0.0173065s
actor	event id: 662000	time 0.00875476s
actor	event id: 663000	time 0.00910788s
actor	event id: 664000	time 0.0101283s
actor	event id: 665000	time 0.0200138s
actor	event id: 666000	time 0.0467837s
actor	source	file:videos/Hangover Square 1945 Laird Cregar, Linda Darnell & George Sanders [ZCjfRdnnNCo].webm
actor	next video index: 26
actor	seekable: false	duration: 4672741
actor	event id: 667000	time 0.0294267s
actor	event id: 668000	time 0.0129597s
actor	event id: 669000	time 0.0136988s
actor	event id: 670000	time 0.00922161s
actor	event id: 671000	time 0.00964174s
actor	event id: 672000	time 0.0196993s
actor	event id: 673000	time 0.0185659s
actor	event id: 674000	time 0.0128152s
actor	event id: 675000	time 0.00705298s
actor	event id: 676000	time 0.0131022s
actor	event id: 677000	time 0.00918379s
actor	event id: 678000	time 0.0500952s
actor	event id: 679000	time 0.0538186s
actor	event id: 680000	time 0.0150248s
actor	event id: 681000	time 0.0563684s
actor	event id: 682000	time 0.0189708s
actor	event id: 683000	time 0.0431445s
actor	event id: 684000	time 0.0149457s
actor	event id: 685000	time 0.0364668s
actor	event id: 686000	time 0.0123948s
actor	event id: 687000	time 0.0171009s
actor	event id: 688000	time 0.00937723s
actor	event id: 689000	time 0.0266383s
actor	event id: 690000	time 0.0147195s
actor	event id: 691000	time 0.0583344s
